licenca;descr;qtde;genero;mes_ano
PPR;PILOTO PRIVADO - AVIAO;8;F;Nov-17
PPR;PILOTO PRIVADO - AVIAO;4;F;Nov-18
PPR;PILOTO PRIVADO - AVIAO;15;F;Nov-19
PPR;PILOTO PRIVADO - AVIAO;5;F;Nov-20
PPR;PILOTO PRIVADO - AVIAO;15;F;Nov-21
PPR;PILOTO PRIVADO - AVIAO;12;F;Nov-22
PPR;PILOTO PRIVADO - AVIAO;1;F;Nov-74
PPR;PILOTO PRIVADO - AVIAO;1;F;Nov-75
PPR;PILOTO PRIVADO - AVIAO;1;F;Nov-76
PPR;PILOTO PRIVADO - AVIAO;1;F;Nov-80
PPR;PILOTO PRIVADO - AVIAO;1;F;Nov-81
PPR;PILOTO PRIVADO - AVIAO;1;F;Nov-82
PPR;PILOTO PRIVADO - AVIAO;1;F;Nov-83
